iteration,MSE_train,MSE_tst,acc_train,acc_test,elapsed
0,0.329758713137,0.342767295597,0.340482573727,0.314465408805,0.053174494
10,0.253915037853,0.265866813732,0.490616621984,0.459119496855,0.194476038
20,0.226861580384,0.240113433142,0.536193029491,0.503144654088,0.348664221
30,0.158232592035,0.181246554894,0.670241286863,0.622641509434,0.49938802
40,0.149949075477,0.151610017471,0.683646112601,0.660377358491,0.638410635
50,0.159070064997,0.167938233138,0.656836461126,0.603773584906,0.783992094
60,0.140759878315,0.155355880289,0.672922252011,0.641509433962,0.945520116
70,0.135588952887,0.138549470134,0.689008042895,0.685534591195,1.090293497
80,0.13437269202,0.144103197369,0.689008042895,0.672955974843,1.226975862
90,0.137431658119,0.147769463749,0.675603217158,0.654088050314,1.360121802
100,0.127539872711,0.152161778614,0.69436997319,0.62893081761,1.497102977
110,0.124485625851,0.162738801022,0.710455764075,0.610062893082,1.634717875
120,0.124942242695,0.166280894235,0.69436997319,0.616352201258,1.766951279
130,0.113599474439,0.154514382035,0.713136729223,0.635220125786,1.921291582
140,0.112465447856,0.150427426571,0.713136729223,0.666666666667,2.072957356
150,0.107232222761,0.15161470188,0.729222520107,0.660377358491,2.222599406
160,0.103816227483,0.148675678617,0.734584450402,0.685534591195,2.371157613
170,0.0998902628511,0.14709187862,0.747989276139,0.685534591195,2.531805137
180,0.0968645137016,0.147026803247,0.745308310992,0.666666666667,2.732153963
190,0.0938949935802,0.147175997436,0.764075067024,0.654088050314,2.890761642
200,0.0909731345439,0.145175618614,0.780160857909,0.666666666667,3.044041454
210,0.0901132746287,0.146165569025,0.780160857909,0.685534591195,3.187041703
220,0.0866449158603,0.143463492385,0.793565683646,0.698113207547,3.366185039
230,0.0851132989646,0.143484780077,0.790884718499,0.672955974843,3.515047584
240,0.0841842767555,0.142731827548,0.790884718499,0.672955974843,3.657861324
250,0.0838323028714,0.143430592142,0.790884718499,0.654088050314,3.806246114
260,0.0831234774684,0.14408635583,0.793565683646,0.666666666667,3.960267613
270,0.0817962952865,0.141068490008,0.788203753351,0.679245283019,4.107542906
280,0.0810808110503,0.140039437813,0.798927613941,0.679245283019,4.250888872
290,0.0803275384806,0.135968240271,0.793565683646,0.679245283019,4.405779656
300,0.0798890406036,0.133588107329,0.790884718499,0.679245283019,4.555972535
310,0.0789333521952,0.131703727473,0.801608579088,0.685534591195,4.703983636
320,0.078273198714,0.13163907482,0.801608579088,0.685534591195,4.849106253
330,0.0773682707093,0.131780189516,0.815013404826,0.685534591195,4.994352588
340,0.0771991308626,0.131841495685,0.812332439678,0.685534591195,5.13973952
350,0.0762119955808,0.130749210522,0.817694369973,0.698113207547,5.284612316
360,0.0757678953196,0.130437356171,0.820375335121,0.698113207547,5.437209543
370,0.0750303306502,0.127718471238,0.812332439678,0.698113207547,5.588571688
380,0.0745803038745,0.127328229407,0.809651474531,0.691823899371,5.743179446
390,0.0751376112299,0.126622218783,0.812332439678,0.704402515723,5.889608555
400,0.0746801326903,0.126069612165,0.806970509383,0.704402515723,6.081663998
410,0.0742696895654,0.126126661516,0.809651474531,0.704402515723,6.236859633
420,0.0731277540897,0.12600592983,0.815013404826,0.704402515723,6.385791266
430,0.0726164584052,0.125720618748,0.809651474531,0.704402515723,6.532169912
440,0.0722563919744,0.125785817685,0.820375335121,0.698113207547,6.678670369
450,0.0718055511438,0.127649093801,0.820375335121,0.685534591195,6.82791136
460,0.0758449382632,0.125886093483,0.809651474531,0.679245283019,6.978048553
470,0.0753133099348,0.123327906747,0.812332439678,0.691823899371,7.125531839
480,0.0775065691221,0.122220322609,0.804289544236,0.691823899371,7.281163138
490,0.0750492102014,0.120595399597,0.820375335121,0.704402515723,7.426811254
500,0.0749381847329,0.126665280678,0.809651474531,0.666666666667,7.56714611
510,0.0733505428502,0.126672186845,0.812332439678,0.672955974843,7.713042778
520,0.091204891102,0.123723343993,0.772117962466,0.704402515723,7.853222048
530,0.0941593590983,0.115650393631,0.761394101877,0.716981132075,7.999926097
540,0.0881818497722,0.114442558726,0.780160857909,0.716981132075,8.148930325
550,0.0859543098313,0.120995670945,0.790884718499,0.716981132075,8.289662287
560,0.0843711217428,0.118173754561,0.782841823056,0.716981132075,8.440202474
570,0.0816056176821,0.117850257953,0.793565683646,0.729559748428,8.588383472
580,0.0807847363599,0.116243234744,0.785522788204,0.735849056604,8.726084053
590,0.0817619400915,0.112638158134,0.772117962466,0.729559748428,8.876092021
600,0.0808092582446,0.111836081552,0.793565683646,0.748427672956,9.021390298
610,0.0792825284855,0.114766837711,0.801608579088,0.723270440252,9.166241831
620,0.0802548909103,0.120439546757,0.782841823056,0.723270440252,9.314959027
630,0.0761547092272,0.122127697532,0.793565683646,0.710691823899,9.451825325
640,0.0731902396792,0.123418346093,0.804289544236,0.698113207547,9.594970238
650,0.0718268838858,0.123224492076,0.812332439678,0.698113207547,9.73311348
660,0.0718882294013,0.122519674279,0.804289544236,0.704402515723,9.871687559
670,0.0710157977128,0.1224631665,0.812332439678,0.704402515723,10.014919956
680,0.0703321517198,0.121519026938,0.820375335121,0.704402515723,10.154150484
690,0.0704206839134,0.121068795598,0.815013404826,0.704402515723,10.299502909
700,0.0698217441424,0.12167040493,0.809651474531,0.698113207547,10.460017565
710,0.0693397352219,0.122451181861,0.804289544236,0.698113207547,10.61030683
720,0.0682345096035,0.121137165921,0.804289544236,0.698113207547,10.766254751
730,0.0676237558726,0.121335716956,0.812332439678,0.704402515723,10.91809854
740,0.0670419039364,0.121192148699,0.806970509383,0.704402515723,11.06365369
750,0.0658735813304,0.122257772585,0.817694369973,0.704402515723,11.207185905
760,0.0653926786009,0.119859686615,0.817694369973,0.691823899371,11.346011928
770,0.0643193423044,0.120420950288,0.823056300268,0.698113207547,11.488894909
780,0.0635968074663,0.121126319416,0.836461126005,0.698113207547,11.629762112
790,0.0636556662548,0.121898759629,0.836461126005,0.698113207547,11.771479463
800,0.0630416755954,0.12166147096,0.833780160858,0.704402515723,11.91138204
810,0.0627977178708,0.120723922665,0.83109919571,0.710691823899,12.05650508
820,0.0623228126937,0.120561810311,0.825737265416,0.698113207547,12.203642503
830,0.0616865223527,0.123302390702,0.833780160858,0.704402515723,12.354536141
840,0.0612759216992,0.123304793916,0.828418230563,0.691823899371,12.495640144
850,0.0607255056451,0.12374547307,0.825737265416,0.685534591195,12.639211072
860,0.0599762466997,0.126165247789,0.833780160858,0.685534591195,12.784008135
870,0.059566943923,0.123848950144,0.836461126005,0.685534591195,12.926076628
880,0.0591622613131,0.123937675426,0.833780160858,0.679245283019,13.071562479
890,0.0589328840974,0.123085028988,0.847184986595,0.685534591195,13.214693551
900,0.0588524824594,0.122072443358,0.836461126005,0.691823899371,13.360259861
910,0.0586268367229,0.122347133445,0.8418230563,0.691823899371,13.503060003
920,0.0583076204991,0.121749013402,0.8418230563,0.685534591195,13.646722184
930,0.0579608058863,0.122212529161,0.844504021448,0.691823899371,13.800020523
940,0.0574666524577,0.122565383855,0.85254691689,0.698113207547,13.946546411
950,0.057193798084,0.12230007602,0.847184986595,0.704402515723,14.096355264
960,0.0570193658176,0.121347655948,0.847184986595,0.704402515723,14.256321714
970,0.0565964635142,0.121181794698,0.849865951743,0.710691823899,14.407633355
980,0.0561972039112,0.121306337396,0.85254691689,0.704402515723,14.564196048
990,0.0558580257687,0.121423888379,0.855227882038,0.704402515723,14.718443055
1000,0.0556559304873,0.121189055278,0.855227882038,0.698113207547,14.991551935
1010,0.0554786118595,0.121297208529,0.85254691689,0.704402515723,15.192870817
1020,0.0552723065559,0.121696838436,0.855227882038,0.698113207547,15.338929157
1030,0.0548089852026,0.122424099739,0.849865951743,0.685534591195,15.482066649
1040,0.0538792681101,0.122019968038,0.857908847185,0.679245283019,15.635811947
1050,0.0538078228378,0.122389304137,0.865951742627,0.685534591195,15.783717972
1060,0.0536725184365,0.121541109731,0.865951742627,0.685534591195,15.957066229
1070,0.0535451747067,0.121176668063,0.860589812332,0.691823899371,16.117046351
1080,0.0534289332182,0.121542329144,0.860589812332,0.679245283019,16.261713773
1090,0.053254397363,0.122037488686,0.860589812332,0.679245283019,16.446355211
1100,0.0531141026755,0.122360448156,0.860589812332,0.679245283019,16.600863002
1110,0.0529900768627,0.122191136984,0.860589812332,0.679245283019,16.746918937
1120,0.052785784186,0.122105672292,0.86327077748,0.679245283019,16.895266599
1130,0.0525383368789,0.118870105421,0.86327077748,0.691823899371,17.044774568
1140,0.0523337748711,0.119432531969,0.86327077748,0.685534591195,17.210952319
